image_path,ground_truth,predicted_label,confidence,status,error
test_images/img1.jpg,Normal,Normal,1.0,success,
test_images/img2.jpg,Normal,Normal,0.75,success,
test_images/img3.jpg,Normal,Normal,0.75,success,
test_images/img4.jpg,Normal,Normal,1.0,success,
test_images/img5.jpg,Normal,Normal,1.0,success,
test_images/img6.jpg,Normal,Normal,1.0,success,
test_images/img7.jpg,Normal,Normal,0.75,success,
test_images/img8.jpg,Normal,Normal,1.0,success,
test_images/img9.jpg,Normal,Normal,1.0,success,
test_images/img10.jpg,Normal,Normal,1.0,success,
test_images/img11.jpg,Normal,Normal,1.0,success,
test_images/img12.jpg,Normal,Normal,1.0,success,
test_images/img13.jpg,Normal,Normal,1.0,success,
test_images/img14.jpg,Normal,Normal,1.0,success,
test_images/img15.jpg,Normal,Normal,1.0,success,
test_images/img16.jpg,Disease,Disease,0.333,success,
test_images/img17.jpg,Disease,Normal,0.5,success,
test_images/img18.jpg,Disease,Disease,0.667,success,
test_images/img19.jpg,Disease,Normal,0.5,success,
test_images/img20.jpg,Disease,Normal,0.5,success,
test_images/img21.jpg,Disease,Disease,0.75,success,
test_images/img22.jpg,Disease,Disease,0.667,success,
test_images/img23.jpg,Disease,Normal,0.75,success,
test_images/img24.jpg,Disease,Disease,0.667,success,
test_images/img25.jpg,Disease,Normal,0.5,success,
test_images/img26.jpg,Disease,Disease,0.667,success,
test_images/img27.jpg,Disease,Normal,0.75,success,
test_images/img28.jpg,Disease,Disease,0.75,success,
test_images/img29.jpg,Disease,Normal,0.75,success,
test_images/img30.jpg,Disease,Disease,0.667,success,
